<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100520,000000,6618.2700000,6683.3100000,6396.7000000,6591.8100000,17300
20100521,000000,6592.9200000,6866.2889900,6565.3600000,6751.6487500,36666
20100523,000000,6813.4218130,6946.8021780,6742.8735200,6878.4585200,0
20100524,000000,6814.4804200,6946.7576200,6795.7411500,6937.9391400,16189
20100525,000000,6693.2300000,6856.3700000,6630.3900000,6817.7900000,25066
20100526,000000,6814.4800000,6875.1100000,6713.0700000,6808.9700000,22045
20100527,000000,6811.1700000,7012.9000000,6799.0500000,6951.1700000,21270
20100528,000000,6948.9600000,7026.1200000,6810.0700000,6853.0600000,19857
20100530,000000,6860.7800000,6918.1000000,6836.5300000,6915.8900000,426
20100531,000000,6915.8900000,6926.9200000,6747.2400000,6777.0000000,4666
20100601,000000,6775.9000000,6821.0900000,6629.2900000,6642.5200000,21635
20100602,000000,6641.4200000,6800.1500000,6548.8200000,6717.4800000,27071
20100603,000000,6716.3700000,6757.1600000,6449.6200000,6512.4500000,28745
20100604,000000,6511.3500000,6596.2200000,6150.8900000,6175.1400000,35170
20100606,000000,6139.8700000,6193.8800000,6027.4300000,6084.7500000,3546
20100607,000000,6082.5500000,6172.9400000,5996.5700000,6113.4100000,26410
20100608,000000,6113.4100000,6229.1500000,6018.6100000,6116.7200000,30428
20100609,000000,6116.7200000,6347.1000000,6074.8300000,6288.6800000,26880
20100610,000000,6290.8800000,6404.4200000,6239.0700000,6342.6900000,24092
20100611,000000,6338.2800000,6490.4000000,6322.8500000,6451.8200000,25374
20100613,000000,6454.0300000,6531.1900000,6443.0000000,6523.4700000,1164
20100614,000000,6524.5700000,6664.5700000,6505.8300000,6557.6400000,20369
20100615,000000,6557.6400000,6720.7800000,6502.5300000,6699.8400000,22698
20100616,000000,6697.6400000,6721.8900000,6461.7400000,6491.5000000,21545
20100617,000000,6490.4000000,6527.8800000,6370.2500000,6425.3600000,26619
20100618,000000,6424.2600000,6440.8000000,6271.0400000,6393.4000000,19929
20100620,000000,6437.4900000,6564.2600000,6427.5700000,6549.9300000,3174
20100621,000000,6551.0300000,6686.6100000,6418.7500000,6532.2900000,23704
20100622,000000,6528.9800000,6607.2500000,6434.1800000,6538.9000000,21447
20100623,000000,6537.8000000,6627.0877000,6426.4673000,6596.2230000,21541
20100624,000000,6601.7346000,6642.5200000,6481.5800000,6563.1500000,25848
20100625,000000,6564.2600000,6842.0400000,6543.3100000,6806.7600000,25440
20100627,000000,6780.3100000,6818.8900000,6729.6000000,6774.8000000,1233
20100628,000000,6775.9000000,6847.5500000,6663.4600000,6676.6900000,8525
20100629,000000,6676.6900000,6676.6900000,6415.4400000,6477.1700000,6087
20100630,000000,6477.1700000,6522.3700000,6299.7000000,6402.2200000,4515
20100701,000000,6401.1100000,6458.4300000,6295.2900000,6428.6700000,31509
20100702,000000,6429.7700000,6521.2700000,6381.2700000,6474.9700000,20709
20100705,000000,6537.8000000,6546.6200000,6404.4200000,6491.5000000,4525
20100706,000000,6489.3000000,6657.9500000,6476.0700000,6519.0600000,22837
20100707,000000,6519.0600000,6717.4800000,6489.3000000,6685.5100000,20740
20100708,000000,6686.6100000,6734.0100000,6594.0200000,6711.9700000,20445
20100709,000000,6708.6600000,6769.2900000,6651.3400000,6765.9800000,15791
20100711,000000,6738.4200000,6756.0600000,6699.8400000,6719.6800000,1109
20100712,000000,6720.7800000,6720.7800000,6580.7900000,6618.2700000,17537
20100713,000000,6592.9200000,6708.6600000,6552.1300000,6656.8500000,14109
20100714,000000,6660.1600000,6737.3200000,6581.8900000,6653.5400000,26975
20100715,000000,6653.5400000,6713.0700000,6602.8400000,6648.0300000,23876
20100716,000000,6648.0300000,6673.3800000,6456.2300000,6476.0700000,29187
20100718,000000,6466.1500000,6531.1900000,6448.5100000,6508.0400000,1882
20100719,000000,6505.8300000,6557.6400000,6456.2300000,6545.5200000,20119
20100720,000000,6544.4100000,6680.0000000,6477.1700000,6629.2900000,32587
20100721,000000,6629.2900000,6848.6500000,6620.4700000,6742.8300000,38112
20100722,000000,6743.9300000,7038.2500000,6737.3200000,6997.4600000,37386
20100723,000000,6999.6700000,7112.1000000,6955.5800000,7049.2700000,24834
20100725,000000,7049.2700000,7051.4800000,6979.8300000,6994.1600000,1554
20100726,000000,6995.2600000,7138.5600000,6991.9500000,7104.3900000,25776
20100727,000000,7104.3900000,7135.2500000,7001.8700000,7085.6500000,28353
